band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
i,-47.8937701312,170050474601349124,61099.0442790721,False,False,3189.1729,513.7991,False,62.1011046834
r,-47.8937959831,170050474601349124,61098.1044369196,False,False,4287.7554,439.7388,False,62.1010643205
r,-47.8938025499,170050474601349124,61098.1035678283,False,False,5731.9775,430.76663,False,62.1010428928
r,-47.8937767131,170050474601349124,61098.1018301813,False,False,4937.463,415.54724,False,62.1010105894
r,-47.8938079141,170050474601349124,61098.0991409594,False,False,4335.049,399.47375,False,62.1010084748
r,-47.8938093046,170050474601349124,61098.0982712844,False,False,4930.309,412.7666,False,62.1010329518
r,-47.8938217953,170050474601349124,61098.0978311228,False,False,5824.801,488.8841,False,62.1009896841
r,-47.8938046773,170050474601349124,61098.0973958252,False,True,5648.473,414.85123,True,62.101020904
r,-47.8938173772,170050474601349124,61098.0965284801,False,False,4975.144,418.19122,False,62.1010320633
r,-47.8938462663,170050474601349124,61098.0956593643,False,False,4366.6226,452.01398,False,62.1010192445
r,-47.8937845197,170050474601349124,61098.093914345,False,False,5039.874,447.47342,False,62.1010415179
r,-47.8938424148,170050474601349124,61098.0934767183,False,False,5364.8486,503.37518,False,62.1010163061
r,-47.8938252036,170050474601349124,61098.0901506811,False,False,4464.103,419.5478,False,62.1010057197
r,-47.8937930185,170050474601349124,61098.0892793301,False,False,5329.023,411.7414,False,62.1009932329
r,-47.8938016512,170050474601349124,61098.0875450073,False,False,4331.9565,400.06335,False,62.1010456883
z,-47.8937741279,170050474601349124,61098.0834315472,False,False,3393.1602,653.2994,False,62.1009599392
z,-47.893809687,170050474601349124,61098.0799396419,False,False,3493.5679,592.4277,False,62.10098112
z,-47.8937970408,170050474601349124,61098.0790749355,False,False,3725.02,564.62427,False,62.1010277591
z,-47.8938059443,170050474601349124,61098.0772621119,False,False,3274.5854,624.8436,False,62.1009557489
z,-47.8938114694,170050474601349124,61098.0763886005,False,False,3610.3435,621.8191,False,62.1010478648
z,-47.8937963865,170050474601349124,61098.0720473669,False,False,3443.6736,647.0779,False,62.1009863278
z,-47.8938140879,170050474601349124,61098.0713443748,False,False,4042.928,665.81836,False,62.1010708842
z,-47.893802024,170050474601349124,61098.0700391712,False,False,3676.9336,621.79443,False,62.1009968517
z,-47.8937596034,170050474601349124,61098.0691735476,False,False,3177.1797,584.58905,False,62.100965125
z,-47.8937702987,170050474601349124,61098.0674117033,False,False,3587.2346,598.4968,False,62.1009650246
z,-47.8937989305,170050474601349124,61098.0665320902,False,False,3587.2075,561.7442,False,62.1009947678
z,-47.8937792737,170050474601349124,61098.0656647056,False,False,3679.6072,640.89215,False,62.1009681965
z,-47.8938267861,170050474601349124,61098.0652254579,False,False,4317.607,595.9857,False,62.1010434877
z,-47.8938080451,170050474601349124,61098.0645494716,False,False,4843.883,556.7921,False,62.1010111003
g,-47.8937979977,170050474601349124,61098.0622342099,False,False,4114.5293,321.77087,False,62.1010276245
g,-47.8938003687,170050474601349124,61098.0613549402,False,False,3997.5112,316.34872,False,62.1010267547
g,-47.8937603509,170050474601349124,61098.0604943946,False,False,4051.4197,335.57758,False,62.1010278748
g,-47.8937957447,170050474601349124,61098.0596257183,False,False,4174.744,336.00424,False,62.1010432985
g,-47.8938038411,170050474601349124,61098.0587600226,False,False,4117.483,326.16013,False,62.100990286
g,-47.8938235987,170050474601349124,61098.0578864643,False,False,4507.1206,356.12305,False,62.1010197689
g,-47.8937882212,170050474601349124,61098.0570188697,False,False,4076.548,334.89496,False,62.1010266822
g,-47.8937936115,170050474601349124,61098.0564311899,False,False,3949.7896,358.4412,False,62.1010137682
g,-47.8938160344,170050474601349124,61098.0560039286,False,False,4080.3154,314.7776,False,62.1010492899
g,-47.8938042889,170050474601349124,61098.0551315803,False,False,4338.5786,326.13852,False,62.1010338284
g,-47.8938023618,170050474601349124,61098.0542676515,False,False,3412.477,323.59827,False,62.101038102
g,-47.8938081397,170050474601349124,61098.0533887879,False,False,4195.921,329.05048,False,62.1010660022
g,-47.893806117,170050474601349124,61098.0525082201,False,False,3909.927,343.91132,False,62.1010169735
g,-47.8938058493,170050474601349124,61098.0516261253,False,False,3944.6975,330.4025,False,62.1010040097
g,-47.8938049234,170050474601349124,61098.0507566648,False,False,4221.983,333.06696,False,62.1010390485
g,-47.8938122361,170050474601349124,61098.0503167834,False,False,3915.3162,382.64996,False,62.1010285267
g,-47.8938058978,170050474601349124,61098.0497203063,False,False,3881.012,333.7842,False,62.1010322441
g,-47.893828477,170050474601349124,61098.0488482158,False,False,4205.7266,322.10175,False,62.1010026581
g,-47.89381169,170050474601349124,61098.0479654451,False,False,3525.7698,352.7184,False,62.1010604073
g,-47.8938088468,170050474601349124,61098.0470963458,False,False,4214.324,295.37354,False,62.1010257679
g,-47.8938069525,170050474601349124,61098.0462240651,False,False,4119.341,323.92566,False,62.1010601859
g,-47.8937938643,170050474601349124,61098.0453590473,False,False,4016.1914,313.19858,False,62.1010167388
g,-47.893817211,170050474601349124,61098.0436177286,False,False,4152.081,323.9243,False,62.1010107569
g,-47.893812712,170050474601349124,61098.0428747816,False,False,3774.8074,354.1895,False,62.1010182278
i,-47.8938055279,170050474601349124,61098.0409598079,False,False,5583.8096,487.11795,False,62.1010557444
i,-47.8937808039,170050474601349124,61098.0400914197,False,False,4950.913,476.6613,False,62.1010216823
i,-47.8938111519,170050474601349124,61098.0396508864,False,False,4237.879,470.62564,False,62.1009859235
i,-47.8937891965,170050474601349124,61098.0383504821,False,False,5007.734,397.87378,False,62.1010030725
i,-47.8937826783,170050474601349124,61098.0366018868,False,False,4804.005,420.40616,False,62.1010001585
i,-47.8937933376,170050474601349124,61098.0346705738,False,False,4246.9014,383.03287,False,62.1010382538
i,-47.8938185001,170050474601349124,61098.0320495665,False,False,5015.4463,385.502,False,62.100985968
i,-47.893796392,170050474601349124,61098.0311760372,False,False,5478.9224,420.03223,False,62.1010147203
i,-47.8938175416,170050474601349124,61098.029434871,False,False,5135.9775,393.80756,False,62.1010014588
i,-47.8938067566,170050474601349124,61098.0275931642,False,False,4665.4243,389.1435,False,62.1010009133
i,-47.893805579,170050474601349124,61098.0267231773,False,False,4600.8325,396.99136,False,62.1010071932
i,-47.8938152515,170050474601349124,61098.0241015969,False,False,5054.858,428.89243,False,62.1010122484
i,-47.8938062821,170050474601349124,61098.023225923,False,False,4993.2227,423.64307,False,62.1010411937
i,-47.8937928422,170050474601349124,61097.1651297726,False,False,3911.0415,677.71716,False,62.1010246897
i,-47.8937993977,170050474601349124,61097.1646919358,False,False,5997.137,673.98926,False,62.1010563238
i,-47.893814225,170050474601349124,61097.145174229,False,False,6084.1914,446.47153,False,62.101006092
i,-47.8938076527,170050474601349124,61097.1447343726,False,False,4962.5757,464.72037,False,62.1009930943
i,-47.8938219696,170050474601349124,61097.1423848959,False,False,6078.5264,446.74548,False,62.1010262507
i,-47.8937985283,170050474601349124,61097.1406370536,False,False,6207.366,502.02582,False,62.1010361954
i,-47.8938059893,170050474601349124,61097.1389055995,False,False,5647.1426,567.53546,False,62.1010340572
i,-47.8938148187,170050474601349124,61097.1384653088,False,False,5656.6943,720.79034,False,62.1009854199
i,-47.8937797398,170050474601349124,61097.1380266799,False,False,6074.4634,713.42,False,62.1010487418
i,-47.8938071342,170050474601349124,61097.1339986975,False,False,5804.8286,764.79755,False,62.1010119477
i,-47.8937808893,170050474601349124,61097.1283528669,False,False,5034.2065,964.5156,False,62.1009537198
